"Country","Year","Oilcons"
"Chile","2016",14.660810294
"Colombia","2016",13.250900261
"Mexico","2016",86.73977159
"Venezuela","2016",24.625300912
"Asia","2016",1289.845116061
"China","2016",525.460449231
"India","2016",201.577200357
"Indonesia","2016",65.051332934
"Japan","2016",166.935877834
"Malaysia","2016",28.452116668
"South Korea","2016",105.499685733
"Taiwan","2016",40.132753835
"Thailand","2016",50.725451394
"Pacific","2016",53.444980595
"Australia","2016",44.645679883
"New Zealand","2016",6.389940017
"Africa","2016",171.88603238
"Algeria","2016",17.737560925
"Egypt","2016",40.34069066
"Nigeria","2016",10.803332911
"South Africa","2016",25.121783754
"Middle-East","2016",289.422158625
"Iran","2016",70.4091848
"Kuwait","2016",15.531656927
"Saudi Arabia","2016",114.416647981
"United Arab Emirates","2016",15.494065031
"Belgium","2017",20.969274699
"Czech Rep.","2017",9.147156218
"France","2017",67.391406003
"Germany","2017",101.939798495
"Italy","2017",53.281006343
"Netherlands","2017",24.670714105
"Poland","2017",28.083136597
"Portugal","2017",8.994505554
"Romania","2017",9.433527975
"Spain","2017",49.641239055
"Sweden","2017",10.094691316
"United Kingdom","2017",57.941057923
"Norway","2017",8.711920195
"Turkey","2017",43.103559432
"CIS","2017",203.296307264
"Kazakhstan","2017",12.780287859
"Russia","2017",155.440548295
"Ukraine","2017",10.732406588
"Uzbekistan","2017",2.397788521
"America","2017",1219.570048181
"North America","2017",878.416552908
"Canada","2017",105.265969669
"United States","2017",773.150583239
"Latin America","2017",341.153495273
"Argentina","2017",31.037085646
"Brazil","2017",110.309081699
"Chile","2017",14.915741556
"Colombia","2017",13.658480925
"Mexico","2017",83.264441522
"Venezuela","2017",22.877861981
"Asia","2017",1334.741361429
"China","2017",553.722631801
"India","2017",211.830185045
"Indonesia","2017",67.73927853
"Japan","2017",164.355978451
"Malaysia","2017",28.540966931
"South Korea","2017",107.099416902
"Taiwan","2017",39.633548018
"Thailand","2017",52.119159131
"Pacific","2017",55.717291199
"Australia","2017",46.533920107
"New Zealand","2017",6.671572043
"Africa","2017",170.879488056
"Algeria","2017",17.581730558
"Egypt","2017",37.933480305
"Nigeria","2017",11.102318617
"South Africa","2017",26.835366137
"Middle-East","2017",294.501407706
"Iran","2017",73.766977669
"Kuwait","2017",15.512114106
"Saudi Arabia","2017",113.417454736
"United Arab Emirates","2017",15.914222816
