"Industry","Fuel Used","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Road transport - LGVs - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - urban driving","DERV",0.06,0.05,0.05,0.05,0.06,0.06,"0.06",0.06,0.06,0.06
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.02
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.02,0.02
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.12,0.12,0.12,0.12,0.12,0.12,"0.12",0.13,0.14,0.14
"Road transport - LGVs - urban driving","DERV",0.14,0.13,0.12,0.12,0.12,0.12,"0.12",0.13,0.13,0.14
"Road transport - LGVs - urban driving","DERV",0.25,0.24,0.24,0.25,0.25,0.26,"0.26",0.28,0.29,0.3
"Road transport - LGVs - urban driving","DERV",0.1,0.1,0.1,0.1,0.1,0.1,"0.1",0.11,0.11,0.12
"Road transport - LGVs - urban driving","DERV",0.13,0.13,0.12,0.13,0.13,0.13,"0.13",0.14,0.14,0.15
"Road transport - LGVs - urban driving","DERV",0.09,0.08,0.08,0.08,0.08,0.09,"0.09",0.09,0.09,0.1
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.02,0.02,0.02
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.12,0.11,0.11,0.11,0.11,0.11,"0.11",0.12,0.12,0.13
"Road transport - LGVs - urban driving","DERV",0.08,0.08,0.08,0.08,0.08,0.08,"0.08",0.09,0.09,0.09
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.07,0.07,0.07,0.07,0.07,0.07,"7.0000000000000007E-2",0.08,0.08,0.08
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - urban driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - urban driving","DERV",0.05,0.05,0.05,0.05,0.05,0.05,"0.05",0.06,0.06,0.06
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.02,0.02,0.02
"Road transport - LGVs - urban driving","DERV",0.2,0.19,0.19,0.19,0.2,0.2,"0.2",0.21,0.22,0.23
"Road transport - buses and coaches - urban driving","DERV",1.15,1.01,1,1.03,0.95,0.91,"0.91",0.9,0.87,0.81
"Road transport - HGV articulated - urban driving","DERV",0.02,0.02,0.03,0.04,0.04,0.03,"0.03",0.03,0.04,0.04
"Road transport - HGV articulated - urban driving","DERV",0.03,0.03,0.04,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Road transport - HGV articulated - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - urban driving","DERV",0.29,0.25,0.22,0.22,0.22,0.21,"0.21",0.21,0.22,0.23
"Road transport - HGV rigid - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - urban driving","DERV",0.07,0.06,0.06,0.06,0.06,0.06,"0.06",0.06,0.06,0.06
"Road transport - HGV rigid - urban driving","DERV",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - urban driving","DERV",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - urban driving","DERV",0.03,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV rigid - urban driving","DERV",0.15,0.13,0.16,0.17,0.17,0.17,"0.16",0.17,0.16,0.16
"Road transport - HGV rigid - urban driving","DERV",0.04,0.04,0.05,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Road transport - HGV rigid - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - urban driving","DERV",0.35,0.32,0.26,0.25,0.25,0.24,"0.24",0.24,0.24,0.23
"Road transport - HGV rigid - urban driving","DERV",0.01,0.02,0.02,0.03,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV rigid - urban driving","DERV",0.02,0.02,0.02,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - urban driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - motorcycle (>50cc  4st) - urban driving","Petrol",0.12,0.1,0.1,0.09,0.08,0.08,"7.0000000000000007E-2",0.08,0.08,0.09
"Road transport - cars - motorway driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","Petrol",0.03,0.02,0.02,0.02,0.02,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","Petrol",0.06,0.07,0.07,0.07,0.07,0.07,"7.0000000000000007E-2",0.07,0.08,0.08
"Road transport - cars - motorway driving","Petrol",2.63,2.46,2.38,2.22,2.1,2,"1.9",1.82,1.76,1.7
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - motorway driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - cars - motorway driving","DERV",0.05,0.05,0.04,0.04,0.04,0.04,"0.04",0.04,0.03,0.04
"Road transport - cars - motorway driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.01,0.02
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.1,0.1,0.1,0.1,0.11,0.11,"0.11",0.11,0.11,0.12
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.02,0.02,0.02,0.02,0.02,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - cars - motorway driving","DERV",1.42,1.48,1.56,1.61,1.74,1.88,"2.02",2.08,2.23,2.35
"Road transport - LGVs - motorway driving","Petrol",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.04,0.04
"Road transport - LGVs - motorway driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.04,0.04
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.03,0.03,0.03,0.03,0.03,0.04,"0.04",0.04,0.04,0.04
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.07,0.07,0.07,0.07,0.07,0.08,"0.08",0.08,0.09,0.09
"Road transport - LGVs - motorway driving","DERV",0.08,0.08,0.07,0.07,0.08,0.08,"0.08",0.08,0.08,0.09
"Road transport - LGVs - motorway driving","DERV",0.15,0.14,0.15,0.15,0.16,0.16,"0.17",0.17,0.18,0.19
"Road transport - LGVs - motorway driving","DERV",0.06,0.06,0.06,0.06,0.06,0.06,"7.0000000000000007E-2",0.07,0.07,0.07
"Road transport - LGVs - motorway driving","DERV",0.08,0.08,0.08,0.08,0.08,0.08,"0.09",0.09,0.09,0.1
"Road transport - LGVs - motorway driving","DERV",0.05,0.05,0.05,0.05,0.05,0.05,"0.06",0.06,0.06,0.06
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.07,0.07,0.07,0.07,0.07,0.07,"7.0000000000000007E-2",0.08,0.08,0.08
"Road transport - LGVs - motorway driving","DERV",0.05,0.05,0.05,0.05,0.05,0.05,"0.05",0.05,0.06,0.06
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.04,0.04,0.04,0.04,0.04,0.05,"0.05",0.05,0.05,0.05
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.02,0.02
"Road transport - LGVs - motorway driving","DERV",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.04,0.04,0.04
"Road transport - LGVs - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - LGVs - motorway driving","DERV",0.12,0.11,0.11,0.12,0.12,0.13,"0.13",0.13,0.14,0.15
"Road transport - buses and coaches - motorway driving","DERV",0.13,0.13,0.12,0.12,0.12,0.11,"0.12",0.11,0.11,0.1
"Road transport - HGV articulated - motorway driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV articulated - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - motorway driving","DERV",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV articulated - motorway driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.03",0.03,0.03,0.03
"Road transport - HGV articulated - motorway driving","DERV",0.1,0.13,0.19,0.21,0.21,0.22,"0.22",0.23,0.24,0.25
"Road transport - HGV articulated - motorway driving","DERV",0.19,0.17,0.21,0.18,0.18,0.18,"0.19",0.2,0.21,0.21
"Road transport - HGV articulated - motorway driving","DERV",0.04,0.04,0.04,0.04,0.04,0.04,"0.05",0.05,0.05,0.05
"Road transport - HGV articulated - motorway driving","DERV",0.04,0.04,0.04,0.04,0.04,0.04,"0.05",0.05,0.05,0.05
"Road transport - HGV articulated - motorway driving","DERV",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV articulated - motorway driving","DERV",1.61,1.43,1.23,1.31,1.3,1.33,"1.36",1.41,1.48,1.52
"Road transport - HGV articulated - motorway driving","DERV",0.02,0.04,0.05,0.06,0.06,0.06,"0.06",0.06,0.07,0.07
"Road transport - HGV rigid - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - motorway driving","DERV",0.06,0.06,0.05,0.06,0.05,0.05,"0.05",0.05,0.06,0.06
"Road transport - HGV rigid - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - motorway driving","DERV",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - motorway driving","DERV",0.03,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.03
"Road transport - HGV rigid - motorway driving","DERV",0.13,0.11,0.15,0.17,0.15,0.15,"0.14000000000000001",0.15,0.17,0.17
"Road transport - HGV rigid - motorway driving","DERV",0.04,0.04,0.05,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Road transport - HGV rigid - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - motorway driving","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - HGV rigid - motorway driving","DERV",0.3,0.29,0.24,0.25,0.23,0.22,"0.21",0.22,0.24,0.25
"Road transport - HGV rigid - motorway driving","DERV",0.01,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - HGV rigid - motorway driving","DERV",0.02,0.02,0.02,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - motorcycle (>50cc  4st) - motorway driving","Petrol",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Road transport - all vehicles LPG use","LPG",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - all vehicles LPG use","LPG",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - all vehicles LPG use","LPG",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.01,0.01,0.01
"Road transport - all vehicles LPG use","LPG",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - all vehicles LPG use","LPG",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Road transport - all vehicles LPG use","LPG",0.01,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Rail - coal","Coal",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Upstream Gas Production - fuel combustion","Gas oil",0.02,0.02,0.02,0.03,0.04,0.05,"7.0000000000000007E-2",0.06,0.09,0.06
"Upstream Gas Production - fuel combustion","Natural gas",1.55,1.57,1.53,1.56,1.38,1.27,"1.3",1.33,1.39,1.21
"Aircraft between UK and CDs - TOL","Aviation turbine fuel",0.01,0.01,0.01,0.02,0.01,0.01,"0.01",0.01,0.01,0.01
"Aircraft between UK and CDs - Cruise","Aviation turbine fuel",0.04,0.04,0.03,0.04,0.04,0.04,"0.03",0.03,0.03,0.02
"Aircraft between UK and Gibraltar - Cruise","Aviation turbine fuel",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.02
"Autogeneration - exported to grid","Natural gas",0.01,0.01,0.02,0.02,0.02,0.02,"0.01",0.01,0.02,0.02
"Autogeneration - exported to grid","Natural gas",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Autogeneration - exported to grid","Natural gas",0.01,0.01,0.02,0.02,0.01,0.02,"0.01",0.01,0.02,0.01
"Autogeneration - exported to grid","Natural gas",0.01,0.01,0.02,0.02,0.02,0.02,"0.01",0.02,0.02,0.02
"Autogeneration - exported to grid","Natural gas",0.02,0.02,0.03,0.03,0.02,0.02,"0.02",0.02,0.03,0.02
"Autogeneration - exported to grid","Natural gas",0.02,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Autogeneration - exported to grid","Natural gas",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Autogeneration - exported to grid","Natural gas",0.25,0.19,0.2,0.14,0.14,0.16,"0.1",0.09,0.09,0.1
"Autogeneration - exported to grid","Natural gas",0.04,0.03,0.04,0.03,0.02,0.03,"0.02",0.02,0.02,0.02
"Autogeneration - exported to grid","Natural gas",0.05,0.06,0.07,0.07,0.07,0.07,"0.05",0.04,0.04,0.04
"Autogeneration - exported to grid","Natural gas",0.02,0.02,0.03,0.02,0.02,0.03,"0.02",0.02,0.02,0.02
"Autogeneration - exported to grid","Natural gas",0.04,0.04,0.04,0.05,0.04,0.05,"0.03",0.03,0.03,0.03
"Autogeneration - exported to grid","Natural gas",0.08,0.09,0.1,0.1,0.1,0.1,"0.08",0.06,0.06,0.06
"Autogeneration - exported to grid","Natural gas",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.02,0.02,0.02
"Autogeneration - exported to grid","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogeneration - exported to grid","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogeneration - exported to grid","Natural gas",0.03,0.03,0.03,0.03,0.03,0.03,"0.02",0.01,0.01,0.01
"Autogeneration - exported to grid","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogeneration - exported to grid","Natural gas",0.01,0.02,0.02,0.03,0.03,0.02,"0.02",0.02,0.03,0.03
"Autogeneration - exported to grid","Natural gas",0.03,0.03,0.04,0.03,0.03,0.04,"0.04",0.03,0.04,0.04
"Autogeneration - exported to grid","Natural gas",0.03,0.03,0.05,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Autogeneration - exported to grid","Natural gas",0.02,0.03,0.05,0.04,0.04,0.05,"0.05",0.05,0.06,0.06
"Autogeneration - exported to grid","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogeneration - exported to grid","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Non-Ferrous Metal (combustion)","Coal",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Non-Ferrous Metal (combustion)","Coal",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.01
"Non-Ferrous Metal (combustion)","Natural gas",0.11,0.11,0.1,0.1,0.1,0.1,"0.1",0.1,0.09,0.09
"Non-Ferrous Metal (combustion)","Natural gas",0.15,0.14,0.1,0.1,0.1,0.11,"0.1",0.1,0.09,0.09
"Chemicals (combustion)","Coal",0.13,0.18,0.22,0.22,0.26,0.2,"0.15",0.11,0.05,0.05
"Chemicals (combustion)","Coal",0.01,0.02,0.02,0.02,0.03,0.02,"0.02",0.01,0.01,0.01
"Chemicals (combustion)","Fuel oil",0.05,0.06,0.04,0.07,0.05,0.01,"0.01",0.01,0.01,0.01
"Chemicals (combustion)","Fuel oil",0.04,0.05,0.03,0.05,0.04,0.01,"0.01",0.01,0.01,0.01
"Chemicals (combustion)","Natural gas",0.81,0.82,0.68,0.68,0.58,0.59,"0.63",0.57,0.57,0.58
"Chemicals (combustion)","Natural gas",0.1,0.09,0.09,0.09,0.09,0.05,"7.0000000000000007E-2",0.05,0.04,0.05
"Chemicals (combustion)","Natural gas",1.2,1.21,1,1,0.86,0.86,"0.93",0.84,0.84,0.85
"Chemicals (combustion)","Natural gas",0.4,0.4,0.33,0.33,0.28,0.29,"0.31",0.28,0.28,0.28
"Chemicals (combustion)","Natural gas",0.04,0.04,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Chemicals (combustion)","Natural gas",0.12,0.12,0.1,0.1,0.08,0.08,"0.09",0.08,0.08,0.08
"Chemicals (combustion)","Natural gas",0.16,0.16,0.14,0.14,0.12,0.12,"0.13",0.11,0.11,0.11
"Chemicals (combustion)","Natural gas",0.41,0.41,0.26,0.26,0.22,0.22,"0.24",0.22,0.22,0.22
"Pulp, Paper and Print (combustion)","Coal",0.1,0.1,0.09,0.09,0.08,0.09,"0.1",0.11,0.09,0.09
"Pulp, Paper and Print (combustion)","Natural gas",1.24,1.15,0.96,0.92,0.88,0.85,"0.92",0.87,0.8,0.71
"Pulp, Paper and Print (combustion)","Natural gas",0.22,0.21,0.17,0.16,0.16,0.15,"0.16",0.16,0.14,0.13
"Food & drink, tobacco (combustion)","Coal",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Food & drink, tobacco (combustion)","Coal",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Food & drink, tobacco (combustion)","Coal",0.02,0.02,0.02,0.02,0.02,0.02,"0.03",0.03,0.03,0.02
"Food & drink, tobacco (combustion)","Fuel oil",0.01,0.01,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Food & drink, tobacco (combustion)","Fuel oil",0.01,0.01,0.01,0.02,0.02,0.01,"0.02",0.02,0.02,0.01
"Food & drink, tobacco (combustion)","Fuel oil",0.01,0.01,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Food & drink, tobacco (combustion)","Fuel oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Food & drink, tobacco (combustion)","Fuel oil",0.02,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.01
"Food & drink, tobacco (combustion)","Natural gas",0.19,0.19,0.17,0.18,0.18,0.18,"0.19",0.18,0.17,0.18
"Food & drink, tobacco (combustion)","Natural gas",0.24,0.24,0.22,0.23,0.23,0.23,"0.24",0.23,0.22,0.22
"Food & drink, tobacco (combustion)","Natural gas",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Food & drink, tobacco (combustion)","Natural gas",0.19,0.18,0.16,0.18,0.18,0.18,"0.18",0.17,0.17,0.17
"Food & drink, tobacco (combustion)","Natural gas",0.21,0.2,0.19,0.2,0.2,0.2,"0.2",0.2,0.19,0.19
"Food & drink, tobacco (combustion)","Natural gas",0.31,0.3,0.27,0.29,0.29,0.29,"0.3",0.29,0.28,0.28
"Food & drink, tobacco (combustion)","Natural gas",0.38,0.37,0.34,0.37,0.37,0.37,"0.37",0.36,0.34,0.35
"Food & drink, tobacco (combustion)","Natural gas",0.06,0.05,0.05,0.05,0.05,0.05,"0.05",0.05,0.05,0.05
"Food & drink, tobacco (combustion)","Natural gas",0.45,0.43,0.32,0.34,0.34,0.34,"0.35",0.33,0.32,0.33
"Food & drink, tobacco (combustion)","Natural gas",0.03,0.03,0.02,0.03,0.03,0.03,"0.03",0.02,0.02,0.02
"Food & drink, tobacco (combustion)","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)","DERV",0.09,0.09,0.1,0.1,0.1,0.1,"0.1",0.1,0.11,0.12
"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)","Gas oil",0.03,0.03,0.03,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)","Petrol",0.06,0.06,0.06,0.06,0.06,0.06,"0.06",0.07,0.07,0.07
"Personal watercraft e.g. jet ski","Petrol",0.04,0.04,0.04,0.04,0.04,0.04,"0.04",0.04,0.05,0.05
"Shipping between UK and Gibraltar","Fuel oil",0.01,0.02,0.01,0.02,0.02,0.02,"0.01",0.03,0.04,0.04
"Aircraft between UK and Bermuda - Cruise","Aviation turbine fuel",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Supressed data","Total",7.48,6.9,6.11,5.92,5.43,5.56,"4.9400000000000004",4.33,4.78,4.76
"ALL","Total",225.03,222.32,203.62,211.12,194.37,195.18,"191",178.02,174.4,169.83
