"Industry","Fuel Used","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Miscellaneous industrial/commercial combustion","Natural gas",0.05,0.07,0.06,0.06,0.05,0.06,"0.06",0.06,0.06,0.06
"Miscellaneous industrial/commercial combustion","Natural gas",0.02,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Miscellaneous industrial/commercial combustion","Natural gas",0.02,0.02,0.02,0.02,0.01,0.02,"0.02",0.01,0.01,0.01
"Miscellaneous industrial/commercial combustion","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Miscellaneous industrial/commercial combustion","Natural gas",0.03,0.04,0.03,0.03,0.02,0.03,"0.03",0.02,0.03,0.03
"Miscellaneous industrial/commercial combustion","Natural gas",0.1,0.13,0.11,0.12,0.11,0.13,"0.14000000000000001",0.13,0.14,0.15
"Miscellaneous industrial/commercial combustion","Natural gas",0.06,0.07,0.06,0.06,0.06,0.06,"7.0000000000000007E-2",0.06,0.06,0.07
"Miscellaneous industrial/commercial combustion","Natural gas",0.02,0.03,0.02,0.02,0.02,0.03,"0.03",0.02,0.03,0.03
"Miscellaneous industrial/commercial combustion","Natural gas",0.05,0.07,0.05,0.06,0.05,0.06,"0.06",0.05,0.06,0.06
"Miscellaneous industrial/commercial combustion","Natural gas",0.25,0.33,0.27,0.29,0.26,0.3,"0.32",0.28,0.3,0.32
"Miscellaneous industrial/commercial combustion","Natural gas",0.13,0.16,0.13,0.14,0.12,0.14,"0.15",0.13,0.14,0.14
"Miscellaneous industrial/commercial combustion","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Miscellaneous industrial/commercial combustion","Natural gas",0.16,0.2,0.16,0.18,0.16,0.19,"0.2",0.17,0.19,0.2
"Upstream Oil Production - fuel combustion","Gas oil",0.42,0.48,0.48,0.5,0.53,0.62,"0.6",0.64,0.6,0.59
"Upstream Oil Production - fuel combustion","Natural gas",3.97,3.7,3.72,3.71,3.24,2.9,"2.66",2.57,3,3.1
"Other industrial combustion","Burning oil",0.04,0.04,0.04,0.04,0.03,0.03,"0.04",0.03,0.03,0.04
"Other industrial combustion","Burning oil",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.05,0.05,0.05,0.05,0.04,0.04,"0.04",0.04,0.04,0.04
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Other industrial combustion","Burning oil",0.06,0.06,0.07,0.07,0.06,0.06,"0.06",0.06,0.06,0.06
"Other industrial combustion","Burning oil",0.04,0.04,0.04,0.05,0.04,0.04,"0.04",0.04,0.04,0.04
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.09,0.09,0.1,0.1,0.09,0.09,"0.09",0.08,0.08,0.09
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.07,0.07,0.07,0.07,0.06,0.06,"0.06",0.06,0.06,0.06
"Other industrial combustion","Burning oil",0.03,0.03,0.04,0.04,0.03,0.03,"0.03",0.03,0.03,0.03
"Other industrial combustion","Burning oil",0.05,0.05,0.05,0.05,0.04,0.05,"0.05",0.04,0.04,0.05
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.06,0.06,0.06,0.06,0.05,0.05,"0.05",0.05,0.05,0.05
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Burning oil",0.03,0.03,0.03,0.03,0.02,0.02,"0.02",0.02,0.02,0.02
"Other industrial combustion","Burning oil",0.16,0.16,0.16,0.16,0.14,0.14,"0.15",0.14,0.14,0.15
"Other industrial combustion","Burning oil",0.09,0.09,0.09,0.09,0.08,0.08,"0.09",0.08,0.08,0.09
"Other industrial combustion","Burning oil",0.2,0.2,0.2,0.21,0.18,0.19,"0.19",0.18,0.18,0.19
"Other industrial combustion","Burning oil",0.02,0.02,0.03,0.03,0.02,0.02,"0.02",0.02,0.02,0.02
"Other industrial combustion","Burning oil",0.03,0.03,0.04,0.04,0.03,0.03,"0.03",0.03,0.03,0.03
"Other industrial combustion","Burning oil",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Other industrial combustion","Burning oil",0.13,0.13,0.14,0.14,0.12,0.12,"0.13",0.12,0.12,0.13
"Other industrial combustion","Coal",0.04,0.07,0.06,0.05,0.05,0.05,"0.05",0.05,0.04,0.04
"Other industrial combustion","Coal",0.12,0.19,0.19,0.38,0.28,0.27,"0.46",0.51,0.44,0.3
"Other industrial combustion","Coal",0.03,0.05,0.05,0.05,0.05,0.06,"0.06",0.06,0.05,0.04
"Other industrial combustion","Fuel oil",0.02,0.12,0.18,0.23,0.09,0.02,"0.01",0.06,0.06,0.07
"Other industrial combustion","Gas oil",0.02,0.04,0.03,0.03,0.02,0.01,"0.01",0.02,0.02,0.02
"Other industrial combustion","Gas oil",0.01,0.02,0.01,0.02,0.01,0.01,"0.01",0.01,0.02,0.01
"Other industrial combustion","LPG",0.1,0.11,0.1,0.12,0.11,0.11,"0.09",0.09,0.1,0.1
"Other industrial combustion","LPG",0.05,0.04,0.04,0.04,0.04,0.03,"0.01",0.03,0.05,0.05
"Other industrial combustion","LPG",0.04,0.03,0.02,0.02,0.03,0.02,"0.01",0.02,0.03,0.03
"Other industrial combustion","LPG",0.03,0.03,0.02,0.02,0.03,0.02,"0.01",0.02,0.03,0.03
"Other industrial combustion","LPG",0.03,0.02,0.02,0.02,0.02,0.01,"0.01",0.02,0.03,0.03
"Other industrial combustion","LPG",0.04,0.03,0.03,0.03,0.03,0.02,"0.01",0.03,0.04,0.04
"Other industrial combustion","LPG",0.04,0.03,0.03,0.03,0.03,0.02,"0.01",0.02,0.03,0.03
"Other industrial combustion","LPG",0.21,0.16,0.15,0.14,0.17,0.1,"0.06",0.13,0.18,0.19
"Other industrial combustion","LPG",0.06,0.05,0.04,0.04,0.05,0.03,"0.02",0.04,0.06,0.06
"Other industrial combustion","LPG",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.02,0.02
"Other industrial combustion","LPG",0.03,0.02,0.02,0.02,0.02,0.01,"0.01",0.02,0.02,0.02
"Other industrial combustion","LPG",0.03,0.02,0.02,0.02,0.03,0.02,"0.01",0.02,0.03,0.03
"Other industrial combustion","LPG",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.02,0.02
"Other industrial combustion","LPG",0.03,0.02,0.02,0.02,0.03,0.02,"0.01",0.02,0.03,0.03
"Other industrial combustion","Natural gas",0.11,0.14,0.12,0.09,0.08,0.07,"7.0000000000000007E-2",0.07,0.07,0.07
"Other industrial combustion","Natural gas",0.43,0.44,0.3,0.28,0.29,0.26,"0.26",0.25,0.24,0.22
"Other industrial combustion","Natural gas",0.08,0.08,0.14,0.13,0.14,0.12,"0.12",0.12,0.11,0.11
"Other industrial combustion","Natural gas",0.02,0.02,0.02,0.02,0.02,0.01,"0.02",0.01,0.01,0.01
"Other industrial combustion","Natural gas",0.19,0.13,0.1,0.17,0.15,0.14,"0.14000000000000001",0.13,0.12,0.12
"Other industrial combustion","Natural gas",0.13,0.08,0.07,0.12,0.11,0.1,"0.09",0.09,0.09,0.08
"Other industrial combustion","Natural gas",0.29,0.19,0.16,0.27,0.25,0.23,"0.22",0.21,0.2,0.19
"Other industrial combustion","Natural gas",0.9,1.24,1.06,0.73,0.64,0.53,"0.55000000000000004",0.54,0.53,0.58
"Other industrial combustion","Natural gas",0.25,0.34,0.29,0.2,0.18,0.15,"0.15",0.15,0.15,0.16
"Other industrial combustion","Natural gas",0.37,0.32,0.25,0.31,0.32,0.31,"0.3",0.29,0.29,0.29
"Other industrial combustion","Natural gas",0.03,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Other industrial combustion","Natural gas",0.15,0.13,0.11,0.11,0.11,0.1,"0.11",0.1,0.11,0.13
"Other industrial combustion","Natural gas",0.2,0.17,0.13,0.13,0.13,0.13,"0.13",0.13,0.14,0.16
"Other industrial combustion","Natural gas",0.25,0.22,0.16,0.2,0.21,0.2,"0.2",0.19,0.18,0.19
"Other industrial combustion","Natural gas",0.53,0.22,0.18,0.43,0.47,0.46,"0.51",0.49,0.5,0.53
"Other industrial combustion","Natural gas",0.04,0.02,0.01,0.03,0.04,0.04,"0.04",0.04,0.04,0.04
"Other industrial combustion","Natural gas",0.15,0.06,0.05,0.12,0.13,0.13,"0.14000000000000001",0.14,0.14,0.15
"Other industrial combustion","Natural gas",0.03,0.01,0.01,0.02,0.03,0.02,"0.03",0.03,0.03,0.03
"Other industrial combustion","Natural gas",0.1,0.06,0.04,0.06,0.06,0.05,"0.05",0.05,0.05,0.05
"Other industrial combustion","Natural gas",0.07,0.05,0.05,0.09,0.08,0.07,"7.0000000000000007E-2",0.07,0.06,0.06
"Other industrial combustion","Natural gas",0.03,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
