"Country","Year","NGCons"
"Romania","2013",12.571089453
"Spain","2013",29.627389443
"Sweden","2013",1.074941709
"United Kingdom","2013",77.736531354
"Norway","2013",5.608478087
"Turkey","2013",45.91244603
"CIS","2013",651.392076752
"Kazakhstan","2013",26.797265903
"Russia","2013",465.916165315
"Ukraine","2013",49.458184551
"Uzbekistan","2013",46.129984956
"America","2013",1084.566284484
"North America","2013",851.398568089
"Canada","2013",112.196507847
"United States","2013",739.202060242
"Latin America","2013",233.167716395
"Argentina","2013",50.076125324
"Brazil","2013",37.741882377
"Chile","2013",4.955035124
"Colombia","2013",11.234917091
"Mexico","2013",70.19269481
"Venezuela","2013",24.352022589
"Asia","2013",644.932800486
"China","2013",167.28929444
"India","2013",51.953014262
"Indonesia","2013",41.906194862
"Japan","2013",128.436899951
"Malaysia","2013",45.21061472
"South Korea","2013",52.559623594
"Taiwan","2013",15.528525106
"Thailand","2013",48.381000275
"Pacific","2013",42.585891141
"Australia","2013",37.707212877
"New Zealand","2013",4.768678264
"Africa","2013",121.769497711
"Algeria","2013",34.554807508
"Egypt","2013",46.479594754
"Nigeria","2013",15.16133366
"South Africa","2013",5.020001262
"Middle-East","2013",424.938866191
"Iran","2013",152.891784196
"Kuwait","2013",18.490995908
"Saudi Arabia","2013",81.953937085
"United Arab Emirates","2013",67.329766189
"Belgium","2014",15.922818287
"Czech Rep.","2014",7.529631501
"France","2014",38.04779077
"Germany","2014",79.046996846
"Italy","2014",61.91200274
"Netherlands","2014",40.257095267
"Poland","2014",17.517720179
"Portugal","2014",4.078611087
"Romania","2014",11.96611253
"Spain","2014",27.232906394
"Sweden","2014",0.919897052
"United Kingdom","2014",70.85843548
"Norway","2014",6.102337028
"Turkey","2014",48.722671981
"CIS","2014",645.451743551
"Kazakhstan","2014",28.066532456
"Russia","2014",464.636018833
"Ukraine","2014",41.079308943
"Uzbekistan","2014",47.040011613
"America","2014",1106.321112556
"North America","2014",866.578291255
"Canada","2014",116.115969905
